date,team1Name,team2Name,team1Odds,drawOdds,team2Odds
31/May/2014,Saracens,Northampton,1.6,19.29,2.44
17/May/2014,Saracens,Harlequins,1.24,22.36,4.21
16/May/2014,Northampton,Leicester,1.62,19.5,2.34
10/May/2014,Harlequins,Bath,1.48,20.64,2.66
10/May/2014,Leicester,Saracens,1.1,27.21,6.89
10/May/2014,London Irish,Sale,1.98,18.86,1.83
10/May/2014,Newcastle,Exeter,2.65,20.36,1.48
10/May/2014,Northampton,Wasps,1.04,39.29,10.09
10/May/2014,Worcester,Gloucester,2.23,18.71,1.67
04/May/2014,Exeter,Harlequins,2.95,20.64,1.4
03/May/2014,Sale,Leicester,2.91,21.14,1.41
03/May/2014,Gloucester,London Irish,1.21,24.21,4.3100000000000005
03/May/2014,Saracens,Worcester,1.01,41.79,14.49
03/May/2014,Wasps,Newcastle,1.09,30.21,7.13
02/May/2014,Bath,Northampton,1.72,18.93,2.1399999999999997
20/Apr/2014,Newcastle,Saracens,3.77,22.33,1.26
20/Apr/2014,Northampton,London Irish,1.04,32.67,9.57
19/Apr/2014,Wasps,Gloucester,1.62,19.58,2.2800000000000002
19/Apr/2014,Bath,Worcester,1.04,34.5,9.83
19/Apr/2014,Exeter,Sale,1.52,20.0,2.56
18/Apr/2014,Harlequins,Leicester,2.0,19.25,1.8
13/Apr/2014,London Irish,Newcastle,1.27,22.67,3.65
13/Apr/2014,Saracens,Northampton,1.43,20.75,2.77
12/Apr/2014,Gloucester,Bath,2.09,19.0,1.74
12/Apr/2014,Leicester,Wasps,1.04,34.5,9.88
12/Apr/2014,Worcester,Exeter,2.3,19.08,1.6099999999999999
11/Apr/2014,Sale,Harlequins,1.78,18.92,2.0300000000000002
30/Mar/2014,Newcastle,Worcester,1.49,20.67,2.6
29/Mar/2014,Northampton,Leicester,1.54,19.17,2.49
29/Mar/2014,Exeter,Gloucester,1.46,20.67,2.7
29/Mar/2014,Harlequins,London Irish,1.12,27.5,5.99
29/Mar/2014,Wasps,Saracens,4.390000000000001,23.5,1.2
28/Mar/2014,Bath,Sale,1.29,21.83,3.57
23/Mar/2014,Leicester,Exeter,1.11,27.0,5.93
22/Mar/2014,London Irish,Bath,2.69,20.33,1.46
22/Mar/2014,Saracens,Harlequins,1.17,23.83,4.83
22/Mar/2014,Gloucester,Newcastle,1.11,27.83,6.28
22/Mar/2014,Sale,Northampton,2.8600000000000003,20.33,1.42
21/Mar/2014,Worcester,Wasps,2.9,20.17,1.41
02/Mar/2014,Newcastle,Leicester,3.9,22.0,1.25
01/Mar/2014,Northampton,Gloucester,1.17,23.67,4.82
01/Mar/2014,Exeter,London Irish,1.3900000000000001,20.5,2.98
01/Mar/2014,Harlequins,Worcester,1.07,31.5,7.83
01/Mar/2014,Wasps,Sale,1.46,20.5,2.7199999999999998
28/Feb/2014,Bath,Saracens,1.76,18.33,2.08
23/Feb/2014,Saracens,Exeter,1.11,27.67,6.08
23/Feb/2014,Newcastle,Northampton,4.37,22.83,1.21
23/Feb/2014,London Irish,Leicester,2.4299999999999997,19.0,1.56
22/Feb/2014,Gloucester,Harlequins,1.72,18.83,2.1399999999999997
22/Feb/2014,Worcester,Sale,2.9299999999999997,20.33,1.41
