date,team1Name,team2Name,team1Odds,drawOdds,team2Odds
18/Jun/2022,Leicester,Saracens,2.83,21.92,1.46
11/Jun/2022,Leicester,Northampton,1.19,28.54,4.68
11/Jun/2022,Saracens,Harlequins,1.32,24.62,3.48
04/Jun/2022,Exeter,Harlequins,1.69,20.85,2.21
04/Jun/2022,Gloucester,Saracens,1.24,25.69,4.05
04/Jun/2022,Leicester,Wasps,1.34,22.85,3.25
04/Jun/2022,Northampton,Newcastle,1.06,36.08,8.45
04/Jun/2022,Sale,Bristol,1.23,24.69,4.109999999999999
04/Jun/2022,Worcester,Bath,1.9300000000000002,20.08,1.9100000000000001
21/May/2022,Saracens,Northampton,1.12,30.58,5.93
21/May/2022,Bath,London Irish,1.71,21.31,2.1799999999999997
21/May/2022,Harlequins,Gloucester,1.32,23.62,3.44
21/May/2022,Newcastle,Leicester,4.77,26.0,1.19
20/May/2022,Bristol,Exeter,2.6,20.85,1.54
20/May/2022,Wasps,Sale,1.62,22.54,2.34
01/May/2022,London Irish,Wasps,1.9100000000000001,21.44,1.9100000000000001
30/Apr/2022,Gloucester,Bath,1.22,27.67,4.2
30/Apr/2022,Leicester,Bristol,1.16,30.91,5.08
30/Apr/2022,Worcester,Saracens,8.98,40.0,1.04
29/Apr/2022,Northampton,Harlequins,2.26,23.2,1.65
29/Apr/2022,Sale,Newcastle,1.09,31.5,6.84
24/Apr/2022,Saracens,Exeter,1.22,25.18,4.3100000000000005
23/Apr/2022,Bath,Northampton,1.9100000000000001,20.55,1.92
23/Apr/2022,Harlequins,Leicester,1.52,21.42,2.58
23/Apr/2022,Wasps,Worcester,1.06,35.09,8.379999999999999
22/Apr/2022,Bristol,Gloucester,2.15,21.75,1.73
22/Apr/2022,Newcastle,London Irish,2.56,21.18,1.52
03/Apr/2022,London Irish,Harlequins,2.52,23.0,1.54
02/Apr/2022,Exeter,Bath,1.1400000000000001,29.58,5.48
02/Apr/2022,Gloucester,Wasps,1.51,22.25,2.6
02/Apr/2022,Northampton,Bristol,1.52,23.5,2.58
02/Apr/2022,Worcester,Newcastle,1.6099999999999999,21.33,2.38
01/Apr/2022,Sale,Saracens,2.23,22.45,1.6800000000000002
27/Mar/2022,Exeter,Leicester,1.94,21.92,1.9100000000000001
26/Mar/2022,Bath,Sale,2.6799999999999997,23.36,1.49
26/Mar/2022,London Irish,Northampton,1.56,23.0,2.45
26/Mar/2022,Saracens,Bristol ,1.07,36.0,8.21
26/Mar/2022,Wasps,Newcastle,1.08,35.18,7.27
25/Mar/2022,Gloucester,Worcester,1.09,37.33,7.97
13/Mar/2022,Bristol,Harlequins,1.92,20.36,1.8900000000000001
13/Mar/2022,Northampton,Wasps,1.96,21.45,1.8599999999999999
12/Mar/2022,Leicester,London Irish,1.42,22.08,2.8899999999999997
12/Mar/2022,Newcastle,Saracens,4.4,23.92,1.2
12/Mar/2022,Sale,Gloucester,1.19,24.42,4.6
12/Mar/2022,Worcester,Exeter,3.4,21.82,1.32
06/Mar/2022,Exeter,Sale,1.65,21.91,2.27
05/Mar/2022,Bath,Bristol,1.74,21.33,2.13
05/Mar/2022,Gloucester,Northampton,1.41,22.83,2.9299999999999997
05/Mar/2022,London Irish,Worcester,1.09,32.58,7.42
05/Mar/2022,Saracens,Leicester,1.38,22.75,3.13
04/Mar/2022,Harlequins,Newcastle,1.07,32.269999999999996,7.95
27/Feb/2022,Northampton,Exeter,1.7,22.25,2.17
26/Feb/2022,Leicester,Gloucester,1.3900000000000001,21.33,3.03
26/Feb/2022,Newcastle,Bath,1.63,19.29,2.33
25/Feb/2022,Bristol,Wasps,2.41,22.18,1.58
25/Feb/2022,Sale,London Irish,1.27,24.27,3.83
25/Feb/2022,Worcester,Harlequins,3.13,22.92,1.37
