date,team1Name,team2Name,team1Odds,drawOdds,team2Odds
28/May/2011,Leicester,Saracens,1.5899999999999999,18.67,2.4
15/May/2011,Saracens,Gloucester,1.26,22.33,3.87
14/May/2011,Leicester,Northampton,1.42,20.83,2.88
07/May/2011,Bath,Newcastle,1.1,27.8,6.31
07/May/2011,Exeter,Wasps,1.48,19.6,2.6399999999999997
07/May/2011,Gloucester,Sale,1.05,33.6,8.5
07/May/2011,Harlequins,Saracens,2.13,18.6,1.72
07/May/2011,Leicester,London Irish,1.09,29.4,6.66
07/May/2011,Northampton,Leeds,1.04,37.4,9.6
30/Apr/2011,Newcastle,Bath,2.77,20.67,1.43
24/Apr/2011,Leeds,Harlequins,2.49,19.0,1.53
24/Apr/2011,Saracens,Gloucester,1.25,22.4,3.88
23/Apr/2011,Wasps,Bath,2.3,18.8,1.6099999999999999
23/Apr/2011,London Irish,Northampton,1.99,18.2,1.8199999999999998
22/Apr/2011,Newcastle,Leicester,3.5,21.33,1.29
22/Apr/2011,Sale,Exeter,1.37,21.67,3.0
19/Apr/2011,Gloucester,Northampton,1.21,22.4,4.3100000000000005
17/Apr/2011,Wasps,Leeds,1.27,23.8,3.66
16/Apr/2011,Sale,London Irish,2.29,18.6,1.63
16/Apr/2011,Exeter,Saracens,2.77,20.4,1.44
16/Apr/2011,Leicester,Gloucester,1.13,29.0,5.52
16/Apr/2011,Bath,Harlequins,1.44,20.8,2.75
15/Apr/2011,Newcastle,Northampton,3.88,22.0,1.25
09/Apr/2011,Newcastle,Leeds,1.4,20.33,2.87
09/Apr/2011,Bath,Exeter,1.1400000000000001,26.83,5.03
08/Apr/2011,Sale,Gloucester,2.13,18.5,1.7
03/Apr/2011,London Irish,Wasps,1.27,21.83,3.62
03/Apr/2011,Leeds,Exeter,1.8199999999999998,18.0,1.97
03/Apr/2011,Saracens,Bath,1.32,21.83,3.3
02/Apr/2011,Harlequins,Leicester,2.48,18.67,1.53
02/Apr/2011,Gloucester,Newcastle,1.05,29.17,8.129999999999999
02/Apr/2011,Northampton,Sale,1.03,33.0,9.5
27/Mar/2011,Saracens,Newcastle,1.05,31.83,8.0
27/Mar/2011,Northampton,Wasps,1.19,22.83,4.42
26/Mar/2011,Bath,Leicester,1.83,18.0,1.97
26/Mar/2011,London Irish,Exeter,1.25,23.17,3.77
26/Mar/2011,Harlequins,Gloucester,1.7,18.0,2.1399999999999997
25/Mar/2011,Sale,Leeds,1.21,22.83,4.15
12/Mar/2011,Leeds,Northampton,2.8200000000000003,20.67,1.42
06/Mar/2011,Exeter,Northampton,2.29,18.17,1.6099999999999999
06/Mar/2011,Wasps,Sale,1.1400000000000001,25.33,5.01
06/Mar/2011,Leeds,London Irish,3.43,21.0,1.3
05/Mar/2011,Leicester,Saracens,1.35,20.67,3.13
05/Mar/2011,Gloucester,Bath,1.52,19.0,2.5
04/Mar/2011,Newcastle,Harlequins,1.83,18.0,1.97
27/Feb/2011,Leeds,Newcastle,1.6800000000000002,18.6,2.19
27/Feb/2011,Wasps,Saracens,1.72,18.4,2.1100000000000003
26/Feb/2011,Exeter,Bath,2.26,18.4,1.63
26/Feb/2011,London Irish,Harlequins,1.43,20.0,2.79
26/Feb/2011,Northampton,Gloucester,1.3900000000000001,21.2,2.98
25/Feb/2011,Sale,Leicester,3.77,21.6,1.26
20/Feb/2011,Saracens,Leeds,1.07,29.67,7.5
19/Feb/2011,Leicester,Wasps,1.13,26.33,5.57
19/Feb/2011,Bath,Northampton,1.53,19.33,2.45
19/Feb/2011,Harlequins,Sale,1.12,27.67,5.62
18/Feb/2011,Newcastle,Exeter,1.6099999999999999,19.0,2.27
18/Feb/2011,Gloucester,London Irish,1.32,21.33,3.31
13/Feb/2011,Wasps,Gloucester,1.3900000000000001,20.67,2.9299999999999997
13/Feb/2011,Leeds,Leicester,3.43,21.0,1.3
12/Feb/2011,Exeter,Harlequins,2.29,18.33,1.6099999999999999
12/Feb/2011,London Irish,Newcastle,1.1400000000000001,26.4,5.27
12/Feb/2011,Northampton,Saracens,1.3,22.6,3.46
11/Feb/2011,Sale,Bath,2.44,17.6,1.55
09/Jan/2011,Saracens,London Irish,1.32,21.8,3.27
08/Jan/2011,Leicester,Northampton,1.41,20.8,2.8
08/Jan/2011,Gloucester,Exeter,1.22,22.6,4.0
08/Jan/2011,Harlequins,Wasps,1.43,19.8,2.75
08/Jan/2011,Bath,Leeds,1.08,29.0,6.9
07/Jan/2011,Newcastle,Sale,1.53,19.0,2.44
02/Jan/2011,Exeter,Leicester,3.14,21.4,1.34
02/Jan/2011,Wasps,Newcastle,1.16,24.6,4.640000000000001
02/Jan/2011,Sale,Saracens,2.5300000000000002,19.2,1.5
01/Jan/2011,London Irish,Bath,1.6400000000000001,18.6,2.2
01/Jan/2011,Northampton,Harlequins,1.15,23.2,4.779999999999999
01/Jan/2011,Leeds,Gloucester,2.67,19.8,1.44
27/Dec/2010,Harlequins,London Irish,2.06,18.8,1.74
27/Dec/2010,Leicester,Sale,1.06,31.2,7.6
26/Dec/2010,Saracens,Wasps,1.53,19.4,2.42
05/Dec/2010,Wasps,Exeter,1.17,23.75,4.73
05/Dec/2010,Saracens,Harlequins,1.29,21.75,3.54
04/Dec/2010,London Irish,Leicester,1.72,19.0,2.09
28/Nov/2010,Harlequins,Leeds,1.08,27.67,6.67
27/Nov/2010,Bath,Wasps,1.47,18.83,2.62
27/Nov/2010,Gloucester,Saracens,1.6,18.33,2.27
27/Nov/2010,Exeter,Sale,1.4,20.83,2.81
27/Nov/2010,Leicester,Newcastle,1.09,27.0,6.59
26/Nov/2010,Northampton,London Irish,1.44,20.17,2.6799999999999997
21/Nov/2010,Bath,Saracens,1.42,21.0,2.74
21/Nov/2010,Newcastle,Gloucester,1.92,17.83,1.87
21/Nov/2010,Wasps,London Irish,1.58,18.67,2.31
20/Nov/2010,Exeter,Leeds,1.28,21.0,3.56
19/Nov/2010,Leicester,Harlequins,1.25,22.33,3.72
19/Nov/2010,Sale,Northampton,2.5700000000000003,19.5,1.49
31/Oct/2010,London Irish,Sale,1.06,31.4,7.6
31/Oct/2010,Leeds,Wasps,2.5700000000000003,19.8,1.48
31/Oct/2010,Harlequins,Bath,1.85,17.8,1.9300000000000002
30/Oct/2010,Gloucester,Leicester,1.83,17.4,1.97
30/Oct/2010,Saracens,Exeter,1.08,27.8,7.0
30/Oct/2010,Northampton,Newcastle,1.07,27.2,7.26
24/Oct/2010,Wasps,Northampton,1.72,18.0,2.1
23/Oct/2010,Exeter,London Irish,3.2,21.25,1.34
23/Oct/2010,Gloucester,Harlequins,1.47,19.6,2.6
23/Oct/2010,Leicester,Bath,1.25,21.2,3.78
22/Oct/2010,Newcastle,Saracens,2.77,20.0,1.42
22/Oct/2010,Leeds,Sale,1.8,17.8,1.99
03/Oct/2010,Saracens,Leicester,1.38,20.0,2.96
02/Oct/2010,Harlequins,Newcastle,1.11,28.0,5.88
02/Oct/2010,London Irish,Leeds,1.04,31.5,8.629999999999999
02/Oct/2010,Northampton,Exeter,1.03,36.67,9.33
01/Oct/2010,Bath,Gloucester,1.21,21.5,4.2
01/Oct/2010,Sale,Wasps,1.9300000000000002,17.5,1.8399999999999999
26/Sep/2010,Saracens,Northampton,1.54,18.6,2.41
25/Sep/2010,Newcastle,London Irish,2.1799999999999997,18.0,1.6600000000000001
25/Sep/2010,Harlequins,Exeter,1.16,24.25,4.77
25/Sep/2010,Leicester,Leeds,1.04,32.8,8.65
25/Sep/2010,Gloucester,Wasps,1.95,18.0,1.83
25/Sep/2010,Bath,Sale,1.13,25.8,5.2
19/Sep/2010,London Irish,Gloucester,1.27,22.8,3.54
19/Sep/2010,Leeds,Saracens,3.22,21.6,1.32
18/Sep/2010,Wasps,Leicester,2.0700000000000003,18.75,1.74
18/Sep/2010,Exeter,Newcastle,1.73,19.67,2.1
17/Sep/2010,Northampton,Bath,1.41,20.0,2.81
17/Sep/2010,Sale,Harlequins,1.6600000000000001,18.6,2.1799999999999997
12/Sep/2010,Saracens,Sale,1.16,23.8,4.68
11/Sep/2010,Leicester,Exeter,1.04,32.75,9.13
11/Sep/2010,Gloucester,Leeds,1.18,23.4,4.5
11/Sep/2010,Bath,London Irish,1.4,21.0,2.85
11/Sep/2010,Harlequins,Northampton,1.97,18.0,1.81
10/Sep/2010,Newcastle,Wasps,2.3200000000000003,18.75,1.58
05/Sep/2010,Northampton,Leicester,1.67,18.8,2.17
05/Sep/2010,Leeds,Bath,3.33,22.0,1.32
04/Sep/2010,Wasps,Harlequins,1.49,20.0,2.5700000000000003
04/Sep/2010,Exeter,Gloucester,3.55,22.0,1.3
04/Sep/2010,London Irish,Saracens,2.3200000000000003,18.2,1.5899999999999999
03/Sep/2010,Sale,Newcastle,1.51,18.6,2.52
