date,team1Name,team2Name,team1Odds,drawOdds,team2Odds
27/May/2017,Wasps,Exeter,1.98,21.12,1.99
20/May/2017,Wasps,Leicester,1.23,25.72,4.220000000000001
20/May/2017,Exeter,Saracens,3.04,20.83,1.42
06/May/2017,Bristol,Newcastle,2.37,20.94,1.6
06/May/2017,Gloucester,Exeter,3.08,23.39,1.38
06/May/2017,Northampton,Harlequins,1.43,21.11,2.88
06/May/2017,Sale,Bath,2.29,20.54,1.65
06/May/2017,Wasps,Saracens,1.35,22.71,3.31
06/May/2017,Worcester,Leicester,2.79,21.42,1.46
30/Apr/2017,Bath,Gloucester,1.41,21.14,3.02
29/Apr/2017,Exeter,Northampton,1.28,23.0,3.75
29/Apr/2017,Leicester,Sale,1.09,32.84,7.33
29/Apr/2017,Saracens,Bristol,1.01,53.0,19.89
28/Apr/2017,Newcastle,Worcester,1.4,22.27,3.0
28/Apr/2017,Harlequins,Wasps,2.1399999999999997,21.72,1.76
16/Apr/2017,Bristol,Wasps,7.23,32.519999999999996,1.09
16/Apr/2017,Northampton,Saracens,1.81,19.6,2.1
15/Apr/2017,Gloucester,Sale,1.35,23.13,3.24
15/Apr/2017,Leicester,Newcastle,1.1,30.17,6.82
15/Apr/2017,Worcester,Bath,3.38,23.02,1.35
14/Apr/2017,Harlequins,Exeter,1.6600000000000001,21.32,2.2800000000000002
09/Apr/2017,Wasps,Northampton,1.17,27.87,5.12
08/Apr/2017,Saracens,Harlequins,1.15,26.84,5.56
08/Apr/2017,Exeter,Bristol,1.02,44.62,14.67
08/Apr/2017,Bath,Leicester,1.87,19.86,2.01
07/Apr/2017,Newcastle,Gloucester,1.5699999999999998,21.14,2.5
07/Apr/2017,Sale,Worcester,1.4,22.86,3.07
26/Mar/2017,Saracens,Bath,1.23,23.79,4.27
26/Mar/2017,Wasps,Worcester,1.03,42.1,12.6
25/Mar/2017,Exeter,Sale,1.07,35.46,9.09
25/Mar/2017,Harlequins,Newcastle,1.21,27.15,4.529999999999999
25/Mar/2017,Northampton,Leicester,1.56,19.88,2.54
24/Mar/2017,Bristol,Gloucester,2.52,20.42,1.55
05/Mar/2017,Worcester,Bristol,1.47,20.3,2.79
05/Mar/2017,Newcastle,Saracens,2.95,20.83,1.43
04/Mar/2017,Bath,Wasps,2.1799999999999997,19.24,1.76
04/Mar/2017,Gloucester,Harlequins,1.28,23.07,3.87
03/Mar/2017,Sale,Northampton,1.52,19.89,2.65
03/Mar/2017,Leicester,Exeter,1.5899999999999999,19.36,2.49
26/Feb/2017,Bristol,Bath,3.49,22.95,1.33
26/Feb/2017,Wasps,Gloucester,1.16,29.42,5.38
25/Feb/2017,Exeter,Newcastle,1.21,24.5,4.51
25/Feb/2017,Northampton,Worcester,1.23,23.17,4.359999999999999
25/Feb/2017,Saracens,Sale,1.17,26.6,5.21
24/Feb/2017,Harlequins,Leicester,2.1799999999999997,20.69,1.73
19/Feb/2017,Newcastle,Northampton,1.7,20.78,2.2199999999999998
19/Feb/2017,Sale,Wasps,3.49,22.34,1.34
18/Feb/2017,Bath,Harlequins,1.21,24.6,4.58
18/Feb/2017,Leicester,Bristol,1.03,43.88,12.43
18/Feb/2017,Worcester,Exeter,2.92,21.32,1.43
17/Feb/2017,Gloucester,Saracens,2.55,19.81,1.5699999999999998
12/Feb/2017,Exeter,Wasps,1.6,19.93,2.41
11/Feb/2017,Leicester,Gloucester,1.3599999999999999,22.22,3.22
11/Feb/2017,Worcester,Saracens,3.58,22.25,1.3
10/Feb/2017,Sale,Newcastle,1.53,19.11,2.59
10/Feb/2017,Bath,Northampton,1.45,20.67,2.87
10/Feb/2017,Bristol,Harlequins,1.43,20.53,2.9299999999999997
08/Jan/2017,Wasps,Leicester,1.1400000000000001,29.03,5.82
07/Jan/2017,Gloucester,Worcester,1.17,26.38,5.17
07/Jan/2017,Harlequins,Sale,1.17,26.39,5.17
07/Jan/2017,Northampton,Bristol,1.12,29.27,6.29
07/Jan/2017,Saracens,Exeter,1.25,23.3,4.16
06/Jan/2017,Newcastle,Bath,2.3899999999999997,19.62,1.62
01/Jan/2017,Gloucester,Northampton,1.7,19.15,2.24
01/Jan/2017,Leicester,Saracens,2.4699999999999998,20.46,1.58
01/Jan/2017,Worcester,Harlequins,2.5700000000000003,20.24,1.55
01/Jan/2017,Sale,Bristol,1.25,22.68,4.17
31/Dec/2016,Bath,Exeter,1.56,20.31,2.51
30/Dec/2016,Newcastle,Wasps,3.92,24.11,1.27
27/Dec/2016,Harlequins,Gloucester,1.38,22.07,3.18
26/Dec/2016,Bristol,Worcester,1.6400000000000001,20.12,2.3600000000000003
24/Dec/2016,Exeter,Leicester,1.31,22.23,3.67
24/Dec/2016,Wasps,Bath,1.31,22.38,3.63
24/Dec/2016,Saracens,Newcastle,1.03,43.4,12.75
23/Dec/2016,Northampton,Sale,1.23,23.34,4.35
04/Dec/2016,Newcastle,Harlequins,2.23,19.52,1.71
04/Dec/2016,Worcester,Wasps,2.76,21.34,1.5
03/Dec/2016,Leicester,Northampton,1.3599999999999999,21.69,3.29
03/Dec/2016,Gloucester,Bristol,1.12,29.72,6.32
03/Dec/2016,Bath,Saracens,2.3200000000000003,20.0,1.6600000000000001
02/Dec/2016,Sale,Exeter,2.3200000000000003,19.73,1.6600000000000001
27/Nov/2016,Harlequins,Bath,1.46,20.75,2.8
27/Nov/2016,Wasps,Sale,1.1400000000000001,29.56,5.98
27/Nov/2016,Saracens,Gloucester,1.13,29.44,6.17
26/Nov/2016,Exeter,Worcester,1.06,37.92,9.28
25/Nov/2016,Bristol,Leicester,5.05,26.89,1.18
25/Nov/2016,Northampton,Newcastle,1.17,25.42,5.25
20/Nov/2016,Leicester,Harlequins,1.22,23.99,4.5
20/Nov/2016,Sale,Saracens,2.27,20.11,1.69
19/Nov/2016,Gloucester,Wasps,2.6399999999999997,21.26,1.52
18/Nov/2016,Newcastle,Exeter,3.16,21.84,1.38
18/Nov/2016,Bath,Bristol,1.09,34.69,7.35
18/Nov/2016,Worcester,Northampton,2.0700000000000003,18.51,1.79
30/Oct/2016,Bristol,Sale,2.74,20.61,1.48
30/Oct/2016,Exeter,Bath,1.52,19.84,2.6399999999999997
30/Oct/2016,Wasps,Newcastle,1.03,42.48,12.28
29/Oct/2016,Harlequins,Worcester,1.13,29.97,6.13
29/Oct/2016,Saracens,Leicester,1.13,27.14,6.31
28/Oct/2016,Northampton,Gloucester,1.3,22.76,3.62
09/Oct/2016,Saracens,Wasps,1.42,20.91,3.01
08/Oct/2016,Exeter,Gloucester,1.1400000000000001,29.1,5.99
08/Oct/2016,Harlequins,Northampton,1.6800000000000002,19.97,2.26
08/Oct/2016,Leicester,Worcester,1.1,31.12,7.06
08/Oct/2016,Newcastle,Bristol,1.21,24.27,4.52
07/Oct/2016,Bath,Sale,1.22,24.61,4.42
02/Oct/2016,Worcester,Newcastle,1.6099999999999999,20.41,2.4
02/Oct/2016,Wasps,Harlequins,1.15,26.16,5.59
01/Oct/2016,Gloucester,Bath,1.83,18.99,2.06
01/Oct/2016,Sale,Leicester,2.19,19.75,1.72
30/Sep/2016,Bristol,Saracens,13.53,42.92,1.03
30/Sep/2016,Northampton,Exeter,1.56,20.63,2.55
25/Sep/2016,Leicester,Bath,1.56,20.84,2.52
24/Sep/2016,Gloucester,Newcastle,1.16,26.12,5.58
24/Sep/2016,Harlequins,Saracens,3.73,23.77,1.29
24/Sep/2016,Northampton,Wasps,1.69,20.67,2.23
24/Sep/2016,Worcester,Sale,1.7,20.02,2.23
23/Sep/2016,Bristol,Exeter,6.75,30.34,1.11
18/Sep/2016,Newcastle,Leicester,3.59,23.09,1.31
18/Sep/2016,Wasps,Bristol,1.04,37.78,12.19
17/Sep/2016,Bath,Worcester,1.07,34.61,8.71
17/Sep/2016,Exeter,Harlequins,1.19,25.63,4.9
17/Sep/2016,Saracens,Northampton,1.15,28.91,5.5
16/Sep/2016,Sale,Gloucester,1.54,21.08,2.58
11/Sep/2016,Bristol,Northampton,3.82,23.17,1.29
11/Sep/2016,Exeter,Saracens,2.21,20.52,1.71
10/Sep/2016,Bath,Newcastle,1.1400000000000001,27.74,5.85
10/Sep/2016,Leicester,Wasps,1.47,20.29,2.8600000000000003
09/Sep/2016,Sale,Harlequins,1.77,20.24,2.13
09/Sep/2016,Worcester,Gloucester,2.37,20.52,1.62
04/Sep/2016,Wasps,Exeter,1.63,20.69,2.3600000000000003
03/Sep/2016,Harlequins,Bristol,1.11,29.48,6.8
03/Sep/2016,Northampton,Bath,1.4,21.36,3.09
03/Sep/2016,Saracens,Worcester,1.03,41.37,12.49
02/Sep/2016,Newcastle,Sale,2.15,20.37,1.75
02/Sep/2016,Gloucester,Leicester,2.1100000000000003,19.89,1.78
