date,team1Name,team2Name,team1Odds,drawOdds,team2Odds
24/Oct/2020,Exeter,Wasps,1.2,27.11,4.73
10/Oct/2020,Exeter,Bath,1.23,25.6,4.27
10/Oct/2020,Wasps,Bristol,1.72,22.4,2.1799999999999997
04/Oct/2020,Leicester,Harlequins,1.54,22.33,2.5700000000000003
04/Oct/2020,London Irish,Bristol,6.12,32.22,1.12
04/Oct/2020,Saracens,Bath,1.79,21.89,2.06
04/Oct/2020,Wasps,Exeter,1.06,37.56,8.42
30/Sep/2020,Bristol,Leicester,1.03,43.44,11.64
30/Sep/2020,Exeter,London Irish,1.3,24.44,3.66
30/Sep/2020,Worcester,Saracens,1.26,24.78,4.1
29/Sep/2020,Northampton,Sale,3.29,23.75,1.35
28/Sep/2020,Harlequins,Wasps,2.45,22.11,1.58
22/Sep/2020,Bath,Gloucester ,1.19,27.63,4.73
14/Sep/2020,Gloucester,Harlequins,1.42,23.33,2.9
13/Sep/2020,Saracens,Exeter,1.53,23.22,2.52
13/Sep/2020,London Irish,Worcester,2.16,22.0,1.71
13/Sep/2020,Sale,Bath,1.33,23.38,3.37
13/Sep/2020,Leicester,Northampton,2.65,22.67,1.5
13/Sep/2020,Wasps,Bristol,1.06,38.33,8.43
09/Sep/2020,Bath,Worcester,1.07,36.89,8.58
09/Sep/2020,London Irish,Harlequins,5.23,31.14,1.15
09/Sep/2020,Sale,Saracens,1.21,28.89,4.67
09/Sep/2020,Exeter,Gloucester,1.01,35.86,16.11
09/Sep/2020,Wasps,Leicester,1.04,41.88,10.04
08/Sep/2020,Bristol,Northampton,1.07,37.33,8.04
05/Sep/2020,Gloucester,London Irish,1.29,26.2,3.69
05/Sep/2020,Leicester,Sale,3.31,24.0,1.35
05/Sep/2020,Harlequins,Bath,1.73,22.5,2.16
05/Sep/2020,Saracens,Wasps,1.05,42.0,9.55
04/Sep/2020,Northampton,Exeter,1.71,21.3,2.2
04/Sep/2020,Worcester,Bristol,4.13,25.2,1.23
31/Aug/2020,Bath,Wasps,1.3599999999999999,24.22,3.23
31/Aug/2020,London Irish,Saracens,16.0,41.0,1.01
30/Aug/2020,Gloucester,Leicester,1.04,38.5,9.67
30/Aug/2020,Exeter,Worcester,1.01,37.14,16.96
30/Aug/2020,Harlequins,Northampton,1.29,25.0,3.67
29/Aug/2020,Sale,Bristol,1.07,35.63,8.25
26/Aug/2020,Northampton,Bath,1.35,22.89,3.27
26/Aug/2020,Leicester,London Irish,1.16,28.38,5.2
26/Aug/2020,Saracens,Gloucester,1.83,22.56,2.01
26/Aug/2020,Worcester,Harlequins,1.46,21.44,2.8
25/Aug/2020,Bristol,Exeter,1.27,24.56,3.85
25/Aug/2020,Wasps,Sale,1.19,28.56,4.66
22/Aug/2020,Leicester,Bath,5.18,29.44,1.16
22/Aug/2020,London Irish,Northampton,2.98,21.67,1.41
22/Aug/2020,Saracens,Harlequins,1.34,24.0,3.3
21/Aug/2020,Gloucester,Bristol,2.05,21.0,1.79
21/Aug/2020,Wasps,Worcester,1.12,31.0,6.24
21/Aug/2020,Sale,Exeter,2.08,21.22,1.8
16/Aug/2020,Northampton,Wasps,1.55,21.61,2.5
15/Aug/2020,Bristol,Saracens,1.47,23.25,2.73
15/Aug/2020,Bath,London Irish,1.2,28.22,4.529999999999999
15/Aug/2020,Exeter,Leicester,1.06,31.75,8.76
15/Aug/2020,Worcester,Gloucester,2.4699999999999998,21.56,1.5699999999999998
14/Aug/2020,Harlequins,Sale,2.9,22.89,1.43
08/Mar/2020,Bristol,Harlequins,1.28,24.31,3.87
07/Mar/2020,Exeter,Bath,1.16,30.43,5.22
07/Mar/2020,Wasps,Gloucester,1.54,22.98,2.56
07/Mar/2020,Saracens,Leicester,1.09,33.96,7.05
06/Mar/2020,Sale,London Irish,1.11,32.510000000000005,6.61
06/Mar/2020,Worcester,Northampton,2.54,21.63,1.55
01/Mar/2020,Bath,Bristol,1.46,19.71,2.84
01/Mar/2020,London Irish,Wasps,1.71,20.79,2.1799999999999997
29/Feb/2020,Harlequins,Exeter,3.13,21.96,1.37
29/Feb/2020,Leicester,Worcester,1.46,21.16,2.75
29/Feb/2020,Northampton,Saracens,1.52,21.13,2.59
28/Feb/2020,Gloucester,Sale,1.5699999999999998,19.61,2.5
23/Feb/2020,Bristol,Worcester,1.2,27.43,4.62
23/Feb/2020,Exeter,Northampton,1.13,26.43,5.91
22/Feb/2020,Bath,Harlequins,1.53,20.51,2.59
22/Feb/2020,London Irish,Gloucester,1.79,20.58,2.05
21/Feb/2020,Sale,Leicester,1.11,29.77,6.6
21/Feb/2020,Wasps,Saracens,1.9,21.48,1.96
16/Feb/2020,Northampton,Bristol,1.48,19.72,2.7800000000000002
