date,team1Name,team2Name,team1Odds,drawOdds,team2Odds
30/May/2015,Bath,Saracens,1.9,18.29,1.97
23/May/2015,Bath,Leicester,1.31,22.6,3.62
23/May/2015,Northampton,Saracens,1.53,18.76,2.59
16/May/2015,Bath,Gloucester,1.02,39.29,13.82
16/May/2015,Exeter,Sale,1.12,26.48,6.0
16/May/2015,Leicester,Northampton,1.12,26.88,6.17
16/May/2015,London Irish,Wasps,3.4,21.77,1.32
16/May/2015,London Welsh,Saracens,26.0,52.65,1
16/May/2015,Newcastle,Harlequins,1.51,20.29,2.6100000000000003
10/May/2015,Saracens,Exeter,1.26,24.13,3.86
09/May/2015,Northampton,London Welsh,1,39.43,25.86
09/May/2015,Wasps,Leicester,1.5,20.34,2.62
09/May/2015,Gloucester,London Irish,1.31,21.81,3.45
09/May/2015,Sale,Newcastle,1.23,23.25,4.1
08/May/2015,Harlequins,Bath,2.96,21.1,1.4
26/Apr/2015,Wasps,Exeter,1.44,21.03,2.8200000000000003
25/Apr/2015,Northampton,Saracens,1.49,19.94,2.65
25/Apr/2015,Gloucester,Newcastle,1.29,22.94,3.61
25/Apr/2015,Leicester,London Welsh,1,51.05,29.1
25/Apr/2015,Sale,Harlequins,1.34,21.37,3.31
24/Apr/2015,Bath,London Irish,1.05,37.32,9.68
12/Apr/2015,London Irish,Sale,2.69,20.48,1.49
12/Apr/2015,London Welsh,Wasps,17.58,44.94,1.01
12/Apr/2015,Exeter,Northampton,1.98,18.98,1.85
11/Apr/2015,Saracens,Leicester,1.32,21.95,3.42
11/Apr/2015,Harlequins,Gloucester,1.41,20.92,2.91
10/Apr/2015,Newcastle,Bath,3.26,21.68,1.34
29/Mar/2015,London Welsh,Bath,27.58,47.3,1.01
29/Mar/2015,Sale,Gloucester,1.3,21.53,3.7
28/Mar/2015,Saracens,Harlequins,1.19,24.3,4.779999999999999
28/Mar/2015,Leicester,Exeter,1.38,21.45,3.18
28/Mar/2015,London Irish,Newcastle,1.49,21.23,2.69
27/Mar/2015,Northampton,Wasps,1.13,29.02,6.29
08/Mar/2015,Newcastle,Leicester,2.7800000000000002,20.25,1.47
08/Mar/2015,Wasps,Saracens,1.7,19.96,2.21
07/Mar/2015,Gloucester,Northampton,2.73,20.95,1.48
07/Mar/2015,Exeter,London Welsh,1.01,43.32,28.02
07/Mar/2015,Harlequins,London Irish,1.27,23.4,3.84
06/Mar/2015,Bath,Sale,1.23,25.46,4.51
01/Mar/2015,Wasps,Gloucester,1.17,25.94,5.11
28/Feb/2015,Exeter,Bath,1.6,19.92,2.41
28/Feb/2015,Leicester,Sale,1.32,22.55,3.47
28/Feb/2015,Saracens,Newcastle,1.11,32.34,6.55
28/Feb/2015,London Welsh,London Irish,8.36,32.28,1.07
27/Feb/2015,Northampton,Harlequins,1.1,30.52,6.95
22/Feb/2015,London Irish,Leicester,2.77,20.49,1.47
21/Feb/2015,Bath,Northampton,1.5,20.2,2.67
