date,team1Name,team2Name,team1Odds,drawOdds,team2Odds
26/May/2012,Harlequins,Leicester,3.01,20.83,1.3900000000000001
12/May/2012,Leicester,Saracens,1.31,20.83,3.39
12/May/2012,Harlequins,Northampton,1.55,18.5,2.48
05/May/2012,Leicester,Bath,1.06,29.17,7.79
05/May/2012,London Irish,Gloucester,1.49,20.0,2.5700000000000003
05/May/2012,Northampton,Worcester,1.01,35.33,13.0
05/May/2012,Sale,Harlequins,6.25,28.17,1.1
05/May/2012,Saracens,Exeter,1.15,27.0,5.13
05/May/2012,Wasps,Newcastle,1.48,20.0,2.62
22/Apr/2012,Exeter,Northampton,1.99,18.33,1.81
21/Apr/2012,Harlequins,Leicester,2.2199999999999998,18.5,1.65
21/Apr/2012,Gloucester,Sale,1.35,20.33,3.14
21/Apr/2012,Worcester,London Irish,1.51,19.33,2.5
21/Apr/2012,Bath,Wasps,1.32,20.83,3.32
20/Apr/2012,Newcastle,Saracens,2.71,19.83,1.46
14/Apr/2012,Harlequins,Wasps,1.11,27.0,6.17
14/Apr/2012,Gloucester,Newcastle,1.12,26.17,5.67
14/Apr/2012,London Irish,Saracens,2.4299999999999997,18.83,1.55
14/Apr/2012,Worcester,Exeter,1.8199999999999998,17.83,1.97
14/Apr/2012,Northampton,Leicester,1.6800000000000002,18.5,2.17
13/Apr/2012,Sale,Bath,1.77,18.0,2.05
01/Apr/2012,Wasps,Gloucester,2.08,17.5,1.74
31/Mar/2012,Bath,Northampton,1.99,17.67,1.8
31/Mar/2012,Exeter,London Irish,1.3900000000000001,21.0,2.9299999999999997
31/Mar/2012,Saracens,Harlequins,1.42,20.17,2.7800000000000002
30/Mar/2012,Newcastle,Sale,1.6400000000000001,18.5,2.23
30/Mar/2012,Leicester,Worcester,1.04,33.83,9.0
25/Mar/2012,London Irish,Leicester,2.8600000000000003,20.17,1.41
24/Mar/2012,Northampton,Wasps,1.05,30.67,8.33
24/Mar/2012,Gloucester,Exeter,1.25,22.67,3.83
24/Mar/2012,Harlequins,Bath,1.29,21.17,3.48
23/Mar/2012,Sale,Saracens,2.56,19.33,1.5
23/Mar/2012,Worcester,Newcastle,1.41,20.0,2.85
04/Mar/2012,Saracens,Northampton,1.42,20.5,2.84
04/Mar/2012,Leicester,Gloucester,1.22,23.5,4.12
03/Mar/2012,Exeter,Sale,1.51,19.33,2.5300000000000002
03/Mar/2012,Wasps,London Irish,1.97,17.83,1.83
03/Mar/2012,Bath,Worcester,1.23,23.5,4.0
02/Mar/2012,Newcastle,Harlequins,2.9,20.67,1.4
26/Feb/2012,London Irish,Northampton,1.76,18.0,2.0700000000000003
25/Feb/2012,Exeter,Bath,1.62,18.0,2.2800000000000002
25/Feb/2012,Gloucester,Harlequins,1.6,18.67,2.31
25/Feb/2012,Leicester,Newcastle,1.13,26.5,5.47
24/Feb/2012,Sale,Wasps,1.32,21.33,3.29
24/Feb/2012,Worcester,Saracens,2.6,19.67,1.49
19/Feb/2012,Saracens,Leicester,1.54,18.0,2.46
18/Feb/2012,Harlequins,Worcester,1.11,26.8,6.0
