date,team1Name,team2Name,team1Odds,drawOdds,team2Odds
01/Jun/2019,Exeter,Saracens,3.57,21.65,1.32
25/May/2019,Exeter,Northampton,1.1400000000000001,28.65,5.89
25/May/2019,Saracens,Gloucester,1.13,31.38,6.03
18/May/2019,Exeter,Northampton,1.32,22.4,3.5
18/May/2019,Leicester,Bath,2.71,20.65,1.5
18/May/2019,Newcastle,Bristol,2.3600000000000003,20.09,1.6400000000000001
18/May/2019,Sale,Gloucester,1.09,34.43,7.14
18/May/2019,Wasps,Harlequins,1.69,20.41,2.24
18/May/2019,Worcester,Saracens,1.71,19.84,2.2
05/May/2019,Bath,Wasps,1.3900000000000001,21.61,3.07
04/May/2019,Gloucester,Newcastle,1.1400000000000001,30.92,5.81
04/May/2019,Northampton,Worcester,1.19,25.95,4.63
04/May/2019,Saracens,Exeter,1.38,21.85,3.13
03/May/2019,Bristol,Sale,1.6400000000000001,20.45,2.33
03/May/2019,Harlequins,Leicester,1.19,24.86,4.74
28/Apr/2019,Worcester,Gloucester,2.26,20.54,1.6800000000000002
27/Apr/2019,Wasps,Saracens,3.25,22.42,1.3599999999999999
27/Apr/2019,Leicester,Bristol,1.41,20.89,3.05
27/Apr/2019,Exeter,Harlequins,1.15,25.87,5.77
26/Apr/2019,Newcastle,Northampton,1.97,19.52,1.88
26/Apr/2019,Sale,Bath,1.6400000000000001,19.73,2.34
14/Apr/2019,Exeter,Wasps,1.1400000000000001,30.21,5.68
13/Apr/2019,Bristol,Saracens,2.7199999999999998,22.42,1.48
13/Apr/2019,Gloucester,Bath,1.48,21.63,2.7199999999999998
13/Apr/2019,Harlequins,Northampton,1.5899999999999999,21.21,2.41
13/Apr/2019,Worcester,Sale,1.8199999999999998,19.61,2.06
12/Apr/2019,Newcastle,Leicester,1.45,20.8,2.8200000000000003
07/Apr/2019,Northampton,Gloucester,1.6,19.37,2.41
06/Apr/2019,Leicester,Exeter,2.9699999999999998,21.21,1.41
06/Apr/2019,Saracens,Newcastle,1.11,29.07,6.48
06/Apr/2019,Wasps,Worcester,1.28,22.39,3.72
06/Apr/2019,Bath,Bristol,1.28,22.03,3.74
05/Apr/2019,Sale,Harlequins,1.43,20.79,2.91
24/Mar/2019,Exeter,Bath,1.17,26.13,5.05
23/Mar/2019,Newcastle,Sale,1.63,19.95,2.35
23/Mar/2019,Bristol,Worcester,1.58,19.28,2.5
23/Mar/2019,Gloucester,Wasps,1.25,22.48,4.05
23/Mar/2019,Saracens,Harlequins,1.31,22.28,3.58
22/Mar/2019,Leicester,Northampton,1.63,19.63,2.34
