date,team1Name,team2Name,team1Odds,drawOdds,team2Odds
29/May/2010,Leicester,Saracens,1.51,18.6,2.58
16/May/2010,Leicester,Bath,1.35,21.2,3.19
16/May/2010,Northampton,Saracens,1.44,20.4,2.79
08/May/2010,Bath,Leeds,1.04,34.8,8.8
08/May/2010,Harlequins,Sale,1.19,24.0,4.46
08/May/2010,Leicester,Saracens,1.29,21.8,3.5
08/May/2010,London Irish,Northampton,2.3,19.0,1.6
08/May/2010,Newcastle,Wasps,2.34,19.4,1.5699999999999998
08/May/2010,Worcester,Gloucester,2.7199999999999998,20.4,1.44
25/Apr/2010,Leeds,Worcester,1.49,18.8,2.58
24/Apr/2010,Wasps,Bath,1.63,18.6,2.24
24/Apr/2010,Gloucester,London Irish,1.55,18.2,2.4
24/Apr/2010,Leicester,Harlequins,1.05,31.4,8.1
24/Apr/2010,Northampton,Saracens,1.33,21.6,3.23
23/Apr/2010,Sale,Newcastle,1.33,20.4,3.31
20/Apr/2010,Bath,Northampton,1.17,24.6,4.640000000000001
18/Apr/2010,London Irish,Leeds,1.06,31.4,8.0
18/Apr/2010,Newcastle,Leicester,3.37,20.6,1.31
17/Apr/2010,Saracens,Harlequins,1.43,20.2,2.76
17/Apr/2010,Northampton,Gloucester,1.17,24.4,4.67
17/Apr/2010,Worcester,Wasps,2.65,20.0,1.46
17/Apr/2010,Bath,Sale,1.11,26.6,6.14
10/Apr/2010,Worcester,London Irish,2.4699999999999998,19.6,1.52
10/Apr/2010,Harlequins,Leeds,1.19,23.0,4.41
09/Apr/2010,Sale,Saracens,1.81,18.4,1.98
04/Apr/2010,Wasps,London Irish,1.58,19.8,2.33
03/Apr/2010,Gloucester,Saracens,1.92,18.8,1.87
03/Apr/2010,Harlequins,Newcastle,1.29,21.2,3.6
03/Apr/2010,Leicester,Bath,1.31,20.4,3.44
03/Apr/2010,Leeds,Northampton,3.24,20.4,1.34
02/Apr/2010,Sale,Worcester,1.3900000000000001,20.2,2.94
31/Mar/2010,Newcastle,Gloucester,1.78,19.0,2.01
28/Mar/2010,London Irish,Sale,1.21,23.75,4.2
28/Mar/2010,Saracens,Newcastle,1.31,21.6,3.33
27/Mar/2010,Northampton,Wasps,1.28,22.0,3.62
27/Mar/2010,Gloucester,Leeds,1.19,23.6,4.46
27/Mar/2010,Worcester,Leicester,3.29,22.0,1.33
27/Mar/2010,Bath,Harlequins,1.31,21.67,3.42
19/Mar/2010,Sale,Wasps,1.8,18.8,1.99
07/Mar/2010,Newcastle,Bath,2.1799999999999997,17.25,1.6800000000000002
07/Mar/2010,Wasps,Gloucester,1.45,20.0,2.73
07/Mar/2010,Leeds,Saracens,2.25,18.5,1.62
07/Mar/2010,Sale,Northampton,2.54,19.67,1.52
06/Mar/2010,Leicester,London Irish,1.27,21.67,3.72
06/Mar/2010,Harlequins,Worcester,1.27,23.0,3.75
28/Feb/2010,London Irish,Harlequins,1.35,22.33,3.2
28/Feb/2010,Saracens,Bath,1.62,18.4,2.26
28/Feb/2010,Leeds,Wasps,2.58,19.4,1.49
27/Feb/2010,Northampton,Leicester,1.6400000000000001,18.75,2.23
27/Feb/2010,Gloucester,Sale,1.23,21.6,3.97
26/Feb/2010,Worcester,Newcastle,1.6800000000000002,19.0,2.15
21/Feb/2010,Wasps,Saracens,1.65,19.25,2.2
20/Feb/2010,Newcastle,London Irish,2.01,18.25,1.8
20/Feb/2010,Harlequins,Northampton,2.33,19.0,1.58
20/Feb/2010,Leicester,Gloucester,1.18,25.0,4.58
20/Feb/2010,Bath,Worcester,1.19,25.5,4.38
19/Feb/2010,Sale,Leeds,1.23,22.0,4.029999999999999
14/Feb/2010,London Irish,Bath,1.55,19.6,2.4
14/Feb/2010,Wasps,Sale,1.32,21.6,3.26
14/Feb/2010,Leeds,Leicester,3.87,22.4,1.24
13/Feb/2010,Gloucester,Harlequins,1.34,20.5,3.13
13/Feb/2010,Northampton,Newcastle,1.19,22.0,4.4
13/Feb/2010,Saracens,Worcester,1.23,21.75,3.96
09/Jan/2010,Leicester,Wasps,1.27,22.67,3.7
03/Jan/2010,Wasps,Newcastle,1.16,25.0,4.79
02/Jan/2010,Gloucester,Worcester,1.24,22.6,3.86
02/Jan/2010,Northampton,London Irish,1.6099999999999999,18.4,2.26
02/Jan/2010,Saracens,Leicester,1.58,18.8,2.31
02/Jan/2010,Leeds,Bath,2.42,19.2,1.54
01/Jan/2010,Sale,Harlequins,1.49,18.8,2.58
27/Dec/2009,Harlequins,Wasps,2.23,18.0,1.6400000000000001
27/Dec/2009,London Irish,Saracens,1.53,19.2,2.45
27/Dec/2009,Newcastle,Leeds,1.25,22.0,3.81
27/Dec/2009,Bath,Gloucester,1.49,19.0,2.56
27/Dec/2009,Leicester,Sale,1.09,27.4,6.81
26/Dec/2009,Worcester,Northampton,2.2800000000000002,18.4,1.6
06/Dec/2009,Wasps,Leicester,1.7,18.0,2.1
05/Dec/2009,Saracens,Sale,1.3,21.2,3.36
05/Dec/2009,Gloucester,Newcastle,1.35,21.0,3.07
05/Dec/2009,London Irish,Worcester,1.15,24.8,4.9
05/Dec/2009,Northampton,Bath,1.3,21.2,3.36
04/Dec/2009,Leeds,Harlequins,3.49,21.2,1.28
28/Nov/2009,Bath,London Irish,1.65,18.6,2.1799999999999997
28/Nov/2009,Harlequins,Gloucester,1.41,20.6,2.79
28/Nov/2009,Leicester,Leeds,1.05,29.4,8.0
27/Nov/2009,Newcastle,Northampton,1.81,18.2,1.97
27/Nov/2009,Worcester,Saracens,2.4299999999999997,19.0,1.53
22/Nov/2009,London Irish,Newcastle,1.24,22.4,3.76
22/Nov/2009,Saracens,Wasps,1.49,19.4,2.56
22/Nov/2009,Leeds,Sale,2.15,17.7,1.69
21/Nov/2009,Northampton,Harlequins,1.3,21.8,3.4
20/Nov/2009,Worcester,Bath,1.8599999999999999,17.7,1.94
20/Nov/2009,Gloucester,Leicester,2.5700000000000003,20.0,1.48
01/Nov/2009,Newcastle,Worcester,1.47,18.6,2.67
01/Nov/2009,Wasps,Leeds,1.03,32.4,8.9
31/Oct/2009,Leicester,Northampton,1.4,20.2,2.88
31/Oct/2009,Harlequins,London Irish,2.23,19.2,1.62
31/Oct/2009,Bath,Saracens,1.77,18.75,2.02
30/Oct/2009,Sale,Gloucester,1.37,21.0,2.9699999999999998
25/Oct/2009,Saracens,Leeds,1.04,29.2,8.8
24/Oct/2009,Gloucester,Wasps,1.75,19.0,2.05
24/Oct/2009,London Irish,Leicester,1.5899999999999999,19.8,2.3200000000000003
24/Oct/2009,Northampton,Sale,1.23,21.8,3.96
24/Oct/2009,Worcester,Harlequins,1.63,19.25,2.21
24/Oct/2009,Bath,Newcastle,1.17,22.25,4.66
04/Oct/2009,Newcastle,Saracens,2.0700000000000003,19.6,1.71
04/Oct/2009,Wasps,Northampton,1.49,20.0,2.5700000000000003
04/Oct/2009,Leeds,Gloucester,3.96,24.25,1.23
03/Oct/2009,Harlequins,Bath,1.71,19.25,2.1
03/Oct/2009,Leicester,Worcester,1.1400000000000001,25.2,4.91
02/Oct/2009,Sale,London Irish,2.48,19.8,1.51
27/Sep/2009,London Irish,Wasps,1.49,20.6,2.5300000000000002
27/Sep/2009,Saracens,Gloucester,1.33,20.8,3.19
26/Sep/2009,Bath,Leicester,1.72,18.33,2.06
26/Sep/2009,Northampton,Leeds,1.02,32.4,11.3
26/Sep/2009,Worcester,Sale,1.5699999999999998,19.2,2.35
25/Sep/2009,Newcastle,Harlequins,1.62,18.5,2.25
20/Sep/2009,Wasps,Worcester,1.2,23.2,4.24
20/Sep/2009,Leeds,London Irish,4.6899999999999995,25.8,1.17
19/Sep/2009,Leicester,Newcastle,1.12,26.4,5.4
19/Sep/2009,Gloucester,Northampton,1.3900000000000001,21.2,2.88
19/Sep/2009,Harlequins,Saracens,1.56,19.2,2.35
18/Sep/2009,Sale,Bath,1.58,19.2,2.31
13/Sep/2009,London Irish,Gloucester,1.43,20.6,2.74
13/Sep/2009,Newcastle,Sale,1.8,18.9,1.97
12/Sep/2009,Harlequins,Leicester,1.74,19.2,2.06
12/Sep/2009,Saracens,Northampton,1.53,20.75,2.44
12/Sep/2009,Bath,Wasps,1.56,18.8,2.3600000000000003
11/Sep/2009,Worcester,Leeds,1.19,23.2,4.41
06/Sep/2009,Gloucester,Bath,1.63,19.0,2.24
06/Sep/2009,Leeds,Newcastle,2.05,18.5,1.75
06/Sep/2009,Northampton,Worcester,1.15,25.75,4.8
05/Sep/2009,Wasps,Harlequins,1.8,18.25,1.99
05/Sep/2009,Saracens,London Irish,2.29,18.75,1.5899999999999999
04/Sep/2009,Sale,Leicester,2.35,18.8,1.5699999999999998
